Author Name,Author Affiliation,Country,Article No.,h-index
Yu-Sheng Su,National Taiwan Ocean University,tw,1,
Hung-Wei Cheng,National Taiwan Ocean University,tw,1,
Chin-Feng Lai,National Cheng Kung University,tw,1,
Youngju Kim,Daejeon Health Institute of Technology,kr,2,
Sung Yun Ahn,Pai Chai University,kr,2,
Ayesha Boomgaard,University of the Western Cape,za,3,
Kaylyn A. Fritz,University of the Western Cape,za,3,
Omowunmi E. Isafiade,University of the Western Cape,za,3,
Retha Christina M. Kotze,University of the Western Cape,za,3,
Okobi Ekpo,University of the Western Cape,za,3,
Marjorie Smith,University of the Western Cape,za,3,
Tyler Gessler,University of the Western Cape,za,3,
Kayleigh J. Filton,University of the Western Cape,za,3,
Christiaan C. Cupido,University of the Western Cape,za,3,
Bahija Aden,University of the Western Cape,za,3,
Ntokozo Yokwe,University of the Western Cape,za,3,
Luyanda Mayekiso,University of the Western Cape,za,3,
Siyamthanda Gxowa,University of the Western Cape,za,3,
Annelize Levitt,University of the Western Cape,za,3,
Lilitha Dlodlo,University of the Western Cape,za,3,
Nosicelo Madushana,University of the Western Cape,za,3,
Desiré Laurent de Laroche Souvestre,University of the Western Cape,za,3,
Emma Whewell,University of Northampton,gb,4,
Helen Caldwell,University of Northampton,gb,4,
Beth Garrett,University of Northampton,gb,4,
Grant Malloch,University of Northampton,gb,4,
Lu Wang,inna University Kokomo,us,5,
Georgia Wood Hodges,University of Georgia,us,5,5
Juyeon Lee,University of Georgia,us,5,
Olia E. Tsivitanidou,Cyprus University of Technology,cy,6,
Yiannis Georgiou,Cyprus University of Technology,cy,6,
Andri Ioannou,Cyprus University of Technology,cy,6,
Peng Yang,Dalian Polytechnic University,cn,7,
Zhi Liu,Kangwon National University,kr,7,
Kilian Gloy,Carl von Ossietzky University of Oldenburg,de,8,
Paul Weyhe,Carl von Ossietzky University of Oldenburg,de,8,
Eric Nerenz,Carl von Ossietzky University of Oldenburg,de,8,
Maximilian Kaluschke,University of Bremen,de,8,
Verena Uslar,Carl von Ossietzky University of Oldenburg,de,8,
Gabriel Zachmann,University of Bremen,de,8,
Dirk Weyhe,Carl von Ossietzky University of Oldenburg,de,8,
Rui Liu,cn West Normal University,cn,9,
Xiang Xu,cn West Normal University,cn,9,
Hairu Yang,cn West Normal University,cn,9,
Zhenhua Li,cn West Normal University,cn,9,
Guan Huang,cn West Normal University,cn,9,
Wei-Long Wu,Tatung University,tw,10,
Yen Hsu,Tatung University,tw,10,
Qi-Fan Yang,Fujian Normal University,cn,10,
Jiangjie Chen,Tatung University,tw,10,4
Aldo Uriarte Portillo,Technological Institute of Culiacan,mx,11,2
MARIA BLANCA IBAÑEZ ESPIGA,Carlos III University of Madrid,es,11,15
Ramón Zatarain Cabada,Technological Institute of Culiacan,mx,11,18
María-Lucía Barrón-Estrada,Technological Institute of Culiacan,mx,11,
Ying Ruan,Wuhan College,cn,12,
Claudia repetto,Università Cattolica del Sacro Cuore,it,13,24
Anna Flavia Di Natale,University of Milano-Bicocca,it,13,4
Daniela Villani,Università Cattolica del Sacro Cuore,it,13,31
Stefano Triberti,University of Milan,it,13,
Serena Germagnoli,Università Cattolica del Sacro Cuore,it,13,
Giuseppe Riva,Istituto Auxologico Italiano,it,13,
Lesia Kondratiuk,Ivan Chernyakhovsky National Defense University of ua,ua,14,
Svitlana Musiichuk,National University of Food Technologies,ua,14,
Nelia Zuienko,National University of Life and Environmental Sciences of ua,ua,14,
Yuriy Sobkov,Chernivtsi National University,ua,14,
Olha Trebyk,Interregional Academy of Personnel Management,ua,14,
Dmytro Yefimov,Donbas State Pedagogical University,ua,14,
Xianhao Zhang,College of Binzhou University,cn,15,
Yongxiu Shi,Tangshan Normal University,cn,15,
Hua Bai,Xingtai University,cn,15,
F. Jerry Reen,University College Cork,ie,16,
Owen Jump,University College Cork,ie,16,
Grace McEvoy,University College Cork,ie,16,
Brian P. McSharry,University College Cork,ie,16,
John Morgan,University College Cork,ie,16,
David Murphy,University College Cork,ie,16,
Niall O’Leary,University College Cork,ie,16,
Billy O’Mahony,University College Cork,ie,16,
Martina Scallan,University College Cork,ie,16,
Christine Walsh,University College Cork,ie,16,
Briony Supple,University College Cork,ie,16,
Safa Molan,The University of South Australia,au,17,
Delene Weber,The University of South Australia,au,17,20
Matin Kor,The University of South Australia,au,17,
Florence Mei Kuen Tang,The Chinese University of hk,hk,18,
Ray Mau Fung Lee,The Chinese University of hk,hk,18,
Roy Hok Lai Szeto,The Chinese University of hk,hk,18,
Jason Ka Kit Cheng,The Chinese University of hk,hk,18,
Frederic Wai To Choi,The Chinese University of hk,hk,18,
Justin Chak Ting Cheung,The Chinese University of hk,hk,18,
Olivia Miu Yung Ngan,The Chinese University of hk,hk,18,
Ann Sin Nga Lau,The Chinese University of hk,hk,18,
María Graciela Badilla-Quintana,Universidad Católica de la Santísima Concepción,cl,19,
Eileen Sepulveda-Valenzuela,University of Bristol,Bristol,19,5
Margarita Salazar Arias,Universidad Católica de la Santísima Concepción,cl,19,
Gerardo Gómez-García,University of Granada,es,20,14
Francisco-Javier Hinojo-Lucena,University of Granada,es,20,31
Santiago Alonso-García,University of Granada,es,20,
José-María Romero-Rodríguez,University of Granada,es,20,
Maxime Ros,"LIRDEF, Montpellier university",fr,21,5
Bruno Debien,"LIRDEF, Montpellier university",fr,21,11
C. Cyteval,"LIRDEF, Montpellier university",fr,21,
Nicolas Molinari,"LIRDEF, Montpellier university",fr,21,63
N. Lonjon,"LIRDEF, Montpellier university",fr,21,
F. Gatto,"LIRDEF, Montpellier university",fr,21,
Paola Araiza-Alba,Swinburne University of Technology,au,22,5
Therese Keane,Swinburne University of Technology,au,22,12
Won Sun Chen,Swinburne University of Technology,au,22,15
Jordy Kaufman,Swinburne University of Technology,au,22,26
Prajakt Pande,Roskilde University,dk,23,6
Amalie Thit,Roskilde University,dk,23,13
Anja Elaine Sørensen,Roskilde University,dk,23,11
Biljana Mojsoska,Roskilde University,dk,23,12
Morten E. Moeller,Roskilde University,dk,23,
Per Meyer Jepsen,Roskilde University,dk,23,
Lisa Hasenbein,University of Tübingen,de,24,3
Philipp Stark,University of Tübingen,de,24,
Ulrich Trautwein,University of Tübingen,de,24,95
Anna Carolina Muller Queiroz,Stanford University,us,24,
Jeremy Bailenson,Stanford University,us,24,
"Jens-Uwe Hahn 
",Hochschule der Medien Stuttgart,de,24,
Richard Go ̈llner,University of Tübingen,de,24,
Guido Makransky,University of Copenhagen,dk,25,31
Lau Lilleholt,University of Copenhagen,dk,25,9
Ann L. Parkinson,University of the Sunshine Coast,au,26,
Mary Kynn,"University of Aberdeen,",gb,26,10
Nicole Reinke,University of the Sunshine Coast,au,26,7
,,,27,
Danny P. Goel,University of British Columbia,ca,28,
Aaron J. Bois,University of Calgary,ca,28,
George S. Athwal,Western University,ca,28,59
Ryan Lohre,University of British Columbia,ca,28,7
Jiatian Yu,Nanjing Normal University,cn,29,
Wayan Sintawati,Nanjing Normal University,cn,29,2
Rustam Shadiev,Nanjing Normal University,cn,29,32
Emilia Biffi,Scientific Institute IRCCS E,it,30,
Gianluigi Reni,Scientific Institute IRCCS E,it,30,
Paola Negrini,Scientific Institute IRCCS E,it,30,
Marisa Giorgetti,Scientific Institute IRCCS E,it,30,
